,slate_id,slate_date,slate_time,num_games
0,18104,2018-03-29,03:05 pm,9
1,18236,2018-03-30,07:07 pm,9
2,18319,2018-03-31,07:05 pm,7
3,18341,2018-04-01,01:05 pm,8
4,18342,2018-04-02,07:07 pm,9
5,18363,2018-04-03,07:07 pm,9
6,18387,2018-04-04,07:07 pm,5
7,18415,2018-04-05,02:05 pm,6
8,18434,2018-04-06,07:05 pm,7
9,18431,2018-04-07,07:05 pm,5
10,18432,2018-04-08,01:05 pm,10
11,18506,2018-04-09,07:05 pm,10
12,18517,2018-04-10,07:05 pm,12
13,18530,2018-04-11,07:05 pm,6
14,18566,2018-04-12,07:05 pm,4
15,18581,2018-04-13,07:05 pm,13
16,18558,2018-04-14,07:10 pm,6
17,18560,2018-04-15,01:05 pm,11
18,18656,2018-04-16,07:05 pm,10
19,18701,2018-04-17,07:05 pm,12
20,18705,2018-04-18,07:10 pm,7
21,18752,2018-04-19,07:05 pm,5
22,18768,2018-04-20,07:05 pm,15
23,18760,2018-04-21,07:10 pm,9
24,18761,2018-04-22,01:05 pm,11
25,18839,2018-04-23,07:05 pm,8
26,18866,2018-04-24,07:05 pm,11
27,18905,2018-04-25,07:05 pm,8
28,18909,2018-04-26,07:05 pm,4
29,18795,2018-04-27,07:05 pm,14
30,18928,2018-04-28,07:05 pm,8
31,18929,2018-04-29,01:05 pm,12
32,18925,2018-04-30,07:05 pm,10
33,19002,2018-05-01,07:05 pm,14
34,19019,2018-05-02,07:05 pm,8
35,19051,2018-05-03,08:05 pm,4
36,19018,2018-05-04,07:05 pm,15
37,19081,2018-05-05,07:10 pm,10
38,19107,2018-05-06,01:05 pm,9
39,19146,2018-05-07,07:05 pm,7
40,19155,2018-05-08,07:05 pm,14
41,19172,2018-05-09,07:05 pm,7
42,19189,2018-05-10,07:05 pm,9
43,19205,2018-05-11,07:05 pm,14
44,19255,2018-05-12,07:05 pm,8
45,19204,2018-05-13,01:05 pm,11
46,19272,2018-05-14,07:05 pm,8
47,19188,2018-05-15,07:05 pm,14
48,19302,2018-05-16,07:10 pm,5
49,19317,2018-05-17,07:05 pm,9
50,19333,2018-05-18,07:05 pm,15
51,19344,2018-05-19,07:05 pm,11
52,19326,2018-05-20,01:05 pm,11
53,19380,2018-05-21,07:05 pm,9
54,19390,2018-05-22,07:05 pm,15
55,19399,2018-05-23,07:05 pm,10
56,19429,2018-05-24,06:10 pm,4
57,19379,2018-05-25,07:05 pm,14
58,19454,2018-05-26,07:15 pm,6
59,19455,2018-05-27,01:05 pm,11
60,19494,2018-05-28,01:05 pm,12
61,19508,2018-05-29,07:05 pm,14
62,19517,2018-05-30,07:05 pm,10
63,19537,2018-05-31,07:05 pm,9
64,19536,2018-06-01,07:05 pm,15
65,19566,2018-06-02,07:15 pm,8
66,19593,2018-06-03,01:10 pm,9
67,19605,2018-06-04,07:10 pm,4
68,19567,2018-06-05,07:05 pm,14
69,19568,2018-06-06,07:05 pm,10
70,19642,2018-06-07,07:07 pm,5
71,19616,2018-06-08,07:05 pm,14
72,19651,2018-06-09,07:15 pm,4
73,19652,2018-06-10,01:05 pm,11
74,19721,2018-06-11,07:05 pm,8
75,19727,2018-06-12,07:05 pm,15
76,19746,2018-06-13,07:05 pm,9
77,19772,2018-06-14,07:05 pm,4
78,19791,2018-06-15,07:05 pm,15
79,19813,2018-06-16,04:05 pm,8
80,19787,2018-06-17,01:05 pm,10
81,19840,2018-06-18,07:05 pm,9
82,19821,2018-06-19,07:05 pm,15
83,19878,2018-06-20,07:05 pm,7
84,19897,2018-06-21,07:05 pm,7
85,19822,2018-06-22,07:05 pm,14
86,19957,2018-06-23,02:10 pm,10
87,19971,2018-06-24,01:05 pm,12
88,19990,2018-06-25,07:05 pm,10
89,19997,2018-06-26,07:05 pm,14
90,20024,2018-06-27,07:05 pm,11
91,20049,2018-06-28,07:05 pm,4
92,20076,2018-06-29,07:05 pm,14
93,20094,2018-06-30,07:15 pm,7
94,20095,2018-07-01,01:05 pm,9
95,20140,2018-07-02,07:05 pm,9
96,20153,2018-07-03,07:05 pm,12
97,20171,2018-07-04,01:05 pm,7
98,20190,2018-07-05,07:05 pm,8
99,20139,2018-07-06,07:05 pm,14
100,20221,2018-07-07,02:10 pm,11
101,20187,2018-07-08,01:07 pm,11
102,20241,2018-07-09,07:05 pm,9
103,20268,2018-07-10,07:05 pm,15
104,20290,2018-07-11,07:05 pm,11
105,20309,2018-07-12,07:05 pm,7
106,20275,2018-07-13,07:05 pm,15
107,20338,2018-07-14,07:15 pm,6
108,20339,2018-07-15,01:05 pm,12
109,20388,2018-07-17,08:00 pm,1
110,20398,2018-07-19,07:05 pm,1
111,20358,2018-07-20,07:05 pm,14
112,20441,2018-07-21,07:10 pm,11
113,20478,2018-07-22,01:07 pm,9
114,20396,2018-07-23,07:05 pm,13
115,20486,2018-07-24,07:05 pm,14
116,20507,2018-07-25,07:05 pm,4
117,20464,2018-07-26,07:05 pm,9
118,20556,2018-07-27,07:05 pm,15
119,20568,2018-07-28,07:05 pm,11
120,20592,2018-07-29,01:05 pm,11
121,20520,2018-07-30,07:10 pm,9
122,20519,2018-07-31,07:05 pm,14
123,20435,2018-08-01,07:05 pm,6
124,20654,2018-08-02,07:05 pm,9
125,20675,2018-08-03,07:05 pm,14
126,20692,2018-08-04,07:05 pm,12
127,20730,2018-08-05,01:10 pm,10
128,20736,2018-08-06,07:10 pm,10
129,20707,2018-08-07,07:05 pm,14
130,20768,2018-08-08,07:05 pm,9
131,20786,2018-08-09,07:05 pm,6
132,20708,2018-08-10,07:05 pm,14
133,20785,2018-08-11,07:05 pm,6
134,20856,2018-08-12,01:05 pm,12
135,20834,2018-08-13,07:05 pm,10
136,20890,2018-08-14,07:05 pm,14
137,20910,2018-08-15,07:05 pm,10
138,20932,2018-08-16,07:05 pm,7
139,20858,2018-08-17,07:05 pm,14
140,20996,2018-08-18,07:05 pm,11
141,20962,2018-08-19,01:05 pm,11
142,20984,2018-08-20,07:05 pm,10
143,21029,2018-08-21,07:05 pm,15
144,21055,2018-08-22,07:05 pm,10
145,21080,2018-08-23,07:10 pm,4
146,21040,2018-08-24,07:05 pm,14
147,21093,2018-08-25,07:05 pm,9
148,21159,2018-08-26,01:07 pm,10
149,21167,2018-08-27,07:05 pm,7
150,21176,2018-08-28,07:05 pm,15
151,21205,2018-08-29,07:05 pm,9
152,21228,2018-08-30,07:05 pm,8
153,21262,2018-08-31,07:05 pm,15
154,21280,2018-09-01,07:05 pm,13
155,21297,2018-09-02,01:05 pm,8
156,21311,2018-09-03,01:05 pm,7
157,21197,2018-09-04,07:05 pm,15
158,21338,2018-09-05,07:05 pm,12
159,21371,2018-09-06,07:05 pm,3
160,21376,2018-09-07,07:05 pm,14
161,21397,2018-09-08,07:10 pm,8
162,21407,2018-09-09,01:07 pm,11
163,21422,2018-09-10,07:05 pm,10
164,21436,2018-09-11,07:05 pm,13
165,21459,2018-09-12,07:05 pm,8
166,21485,2018-09-13,07:05 pm,6
167,21510,2018-09-14,07:05 pm,15
168,21528,2018-09-15,07:05 pm,8
169,21483,2018-09-16,01:05 pm,11
170,21553,2018-09-17,07:05 pm,12
171,21565,2018-09-18,07:05 pm,14
172,21541,2018-09-19,07:05 pm,10
173,21626,2018-09-20,07:05 pm,7
174,21646,2018-09-21,07:05 pm,14
175,21675,2018-09-22,07:05 pm,9
176,21699,2018-09-23,01:05 pm,11
177,21710,2018-09-24,07:05 pm,12
178,21669,2018-09-25,07:05 pm,14
179,21765,2018-09-26,07:10 pm,12
180,21782,2018-09-27,07:05 pm,6
181,21809,2018-09-28,07:05 pm,13
182,21831,2018-09-29,07:05 pm,9
183,21865,2018-09-30,03:05 pm,15
184,21871,2018-10-01,01:05 pm,2
185,21905,2018-10-02,08:00 pm,1
186,21910,2018-10-03,08:08 pm,1
187,21948,2018-10-04,05:07 pm,2
188,21957,2018-10-05,02:05 pm,4
189,21964,2018-10-06,04:37 pm,2
190,21982,2018-10-07,04:37 pm,2
191,22021,2018-10-08,01:30 pm,3
192,22047,2018-10-09,08:07 pm,1
193,22079,2018-10-12,08:09 pm,1
194,22136,2018-10-13,04:09 pm,2
195,22153,2018-10-14,07:09 pm,1
